source,source_id,name,food_group,kcal,protein_g,carbs_g,fat_g,fiber_g,fiber_insoluble_g,fiber_soluble_g,water_g,ash_g,energy_kj,n_regions
IFCT,A001,"Amaranth seed, black (Amaranthus cruentus)",CEREALS AND MILLETS,356.1,14.59,59.98,5.74,7.02,5.76,1.26,9.89,2.78,1490,1
IFCT,A002,"Amaranth seed, pale brown (Amaranthus cruentus)",CEREALS AND MILLETS,355.9,13.27,61.46,5.56,7.47,5.80,1.67,9.20,3.05,1489,6
IFCT,A003,Bajra (Pennisetum typhoideum),CEREALS AND MILLETS,348.0,10.96,61.78,5.43,11.49,9.14,2.34,8.97,1.37,1456,6
IFCT,A004,Barley (Hordeum vulgare),CEREALS AND MILLETS,315.7,10.94,61.29,1.30,15.64,9.98,5.66,9.77,1.06,1321,6
IFCT,A005,Jowar (Sorghum vulgare),CEREALS AND MILLETS,334.1,9.97,67.68,1.73,10.22,8.49,1.73,9.01,1.39,1398,6
IFCT,A006,"Maize, dry (Zea mays)",CEREALS AND MILLETS,334.1,8.80,64.77,3.77,12.24,11.29,0.94,9.26,1.17,1398,6
IFCT,A007,"Maize, tender, local (Zea mays)",CEREALS AND MILLETS,120.0,3.57,22.69,1.40,3.67,3.23,0.43,68.29,0.38,502,6
IFCT,A008,"Maize, tender, sweet (Zea mays)",CEREALS AND MILLETS,96.8,4.16,16.42,1.35,3.30,2.71,0.59,74.40,0.36,405,4
IFCT,A009,Quinoa (Chenopodium quinoa),CEREALS AND MILLETS,328.4,13.11,53.65,5.50,14.66,10.21,4.46,10.43,2.65,1374,1
IFCT,A010,Ragi (Eleusine coracana),CEREALS AND MILLETS,320.7,7.16,66.82,1.92,11.18,9.51,1.67,10.89,2.04,1342,5
IFCT,A011,Rice flakes (Oryza sativa ),CEREALS AND MILLETS,353.7,7.44,76.75,1.14,3.46,2.65,0.81,10.36,0.85,1480,6
IFCT,A012,Rice puffed (Oryza sativa ),CEREALS AND MILLETS,361.9,7.47,77.68,1.62,2.56,1.76,0.80,9.40,1.28,1514,6
IFCT,A013,"Rice, raw, brown (Oryza sativa )",CEREALS AND MILLETS,353.7,9.16,74.80,1.24,4.43,3.60,0.82,9.33,1.04,1480,6
IFCT,A014,"Rice, parboiled, milled (Oryza sativa )",CEREALS AND MILLETS,351.6,7.81,77.16,0.55,3.74,2.98,0.76,10.09,0.65,1471,6
IFCT,A015,"Rice, raw, milled (Oryza sativa )",CEREALS AND MILLETS,356.4,7.94,78.24,0.52,2.81,1.99,0.82,9.93,0.56,1491,6
IFCT,A016,Samai (Panicum miliare),CEREALS AND MILLETS,346.3,10.13,65.55,3.89,7.72,5.45,2.27,11.36,1.34,1449,6
IFCT,A017,Varagu (Paspalum scrobiculatum),CEREALS AND MILLETS,331.7,8.92,66.19,2.55,6.39,4.29,2.11,14.23,1.72,1388,5
IFCT,A018,"Wheat flour, refined (Triticum aestivum)",CEREALS AND MILLETS,351.8,10.36,74.27,0.76,2.76,2.14,0.62,11.34,0.51,1472,6
IFCT,A019,"Wheat flour, atta (Triticum aestivum)",CEREALS AND MILLETS,320.3,10.57,64.17,1.53,11.36,9.73,1.63,11.10,1.28,1340,6
IFCT,A020,"Wheat, whole (Triticum aestivum)",CEREALS AND MILLETS,321.9,10.59,64.72,1.47,11.23,9.63,1.60,10.58,1.42,1347,6
IFCT,A021,"Wheat, bulgur (Triticum aestivum)",CEREALS AND MILLETS,341.8,10.84,69.06,1.45,8.81,6.56,2.25,8.61,1.23,1430,6
IFCT,A022,"Wheat, semolina (Triticum aestivum)",CEREALS AND MILLETS,333.7,11.38,68.43,0.74,9.72,8.16,1.55,8.94,0.80,1396,6
IFCT,A023,"Wheat, vermicelli (Triticum aestivum)",CEREALS AND MILLETS,332.7,9.70,70.39,0.45,9.28,7.53,1.75,9.59,0.60,1392,6
IFCT,A024,"Wheat, vermicelli, roasted (Triticum aestivum)",CEREALS AND MILLETS,340.1,10.37,71.42,0.49,9.55,7.79,1.76,7.61,0.56,1423,6
IFCT,B001,"Bengal gram, dal (Cicer arietinum)",GRAIN LEGUMES,329.1,21.55,46.72,5.31,15.15,12.67,2.48,9.18,2.10,1377,6
IFCT,B002,"Bengal gram, whole (Cicer arietinum)",GRAIN LEGUMES,287.0,18.77,39.56,5.11,25.22,22.70,2.52,8.56,2.78,1201,6
IFCT,B003,"Black gram, dal (Phaseolus mungo)",GRAIN LEGUMES,324.1,23.06,51.00,1.69,11.93,7.58,4.35,9.16,3.17,1356,6
IFCT,B004,"Black gram, whole (Phaseolus mungo)",GRAIN LEGUMES,291.3,21.97,43.99,1.58,20.41,15.47,4.94,8.70,3.35,1219,6
IFCT,B005,"Cowpea, brown (Vigna catjang)",GRAIN LEGUMES,320.3,20.36,54.62,1.15,11.54,8.75,2.80,9.42,2.90,1340,6
IFCT,B006,"Cowpea, white (Vigna catjang)",GRAIN LEGUMES,320.3,21.25,53.77,1.14,11.70,8.91,2.79,9.32,2.83,1340,1
IFCT,B007,"Field bean, black (Phaseolus vulgaris)",GRAIN LEGUMES,276.1,19.93,43.46,0.92,23.40,17.99,5.41,9.57,2.73,1155,1
IFCT,B008,"Field bean, brown (Phaseolus vulgaris)",GRAIN LEGUMES,283.0,19.90,45.24,0.98,22.40,17.32,5.08,8.74,2.74,1184,1
IFCT,B009,"Field bean, white (Phaseolus vulgaris)",GRAIN LEGUMES,280.4,19.84,44.53,0.94,22.99,17.45,5.54,8.61,3.09,1173,5
IFCT,B010,"Green gram, dal ( Vigna radiat a)",GRAIN LEGUMES,325.8,23.88,52.59,1.35,9.37,7.75,1.62,9.77,3.04,1363,6
IFCT,B011,"Green gram, whole (Vigna radiata)",GRAIN LEGUMES,293.7,22.53,46.13,1.14,17.04,14.59,2.44,9.95,3.22,1229,6
IFCT,B012,"Horse gram, whole (Dolichos biflorus)",GRAIN LEGUMES,329.6,21.73,57.24,0.62,7.88,6.22,1.66,9.28,3.24,1379,6
